epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,79.2987,0.57178,0.72607,0.93151,1,0.97319,0.99481,0.71823,0.97302,1.12393,0.97675,0.000487162,0.000487162,0.000487162
43,81.6542,1.02105,1.1932,1.28109,1,0.97808,0.995,0.74087,0.90944,1.09776,0.97815,0.000490728,0.000490728,0.000490728
44,83.5211,0.65908,0.77498,0.93813,1,0.97808,0.995,0.74087,0.90944,1.09776,0.97815,0.000493898,0.000493898,0.000493898
45,85.3075,1.03359,1.17898,1.15392,0.99237,1,0.995,0.75567,0.85086,1.03705,0.97247,0.000496672,0.000496672,0.000496672
46,87.086,0.65314,0.72116,1.00322,0.99237,1,0.995,0.75567,0.85086,1.03705,0.97247,0.00049905,0.00049905,0.00049905
47,88.8595,0.58616,0.63595,0.99936,0.99342,1,0.995,0.77176,0.82561,0.93986,0.96121,0.000501032,0.000501032,0.000501032
48,90.5429,0.77611,0.74173,1.08075,0.99342,1,0.995,0.77176,0.82561,0.93986,0.96121,0.000502618,0.000502618,0.000502618
49,92.2214,0.65755,0.69602,0.95434,0.99243,1,0.995,0.76869,0.84904,0.89344,0.97328,0.000503808,0.000503808,0.000503808
50,93.94,0.62952,0.88761,1.0174,0.99243,1,0.995,0.76869,0.84904,0.89344,0.97328,0.000504602,0.000504602,0.000504602
51,95.8031,0.64052,0.74084,0.92797,0.9957,1,0.995,0.76161,0.85473,0.87475,0.97536,0.000505,0.000505,0.000505
52,97.5011,0.86609,1.2781,1.08679,0.9957,1,0.995,0.76161,0.85473,0.87475,0.97536,0.000505002,0.000505002,0.000505002
53,99.3589,0.91886,1.03806,1.11233,0.9957,1,0.995,0.76161,0.85473,0.87475,0.97536,0.000504608,0.000504608,0.000504608
54,101.058,0.60156,0.68717,0.9264,0.99881,1,0.995,0.7663,0.83308,0.84821,0.95224,0.000503818,0.000503818,0.000503818
55,102.837,0.63107,0.83989,0.93519,0.99881,1,0.995,0.7663,0.83308,0.84821,0.95224,0.000502632,0.000502632,0.000502632
56,104.59,0.90802,0.99069,1.17032,0.99881,1,0.995,0.7663,0.83308,0.84821,0.95224,0.00050105,0.00050105,0.00050105
57,106.367,0.94398,1.0065,1.15733,1,0.99892,0.995,0.77582,0.82219,0.82406,0.93194,0.000499072,0.000499072,0.000499072
58,108.135,0.74149,0.89882,1.08415,1,0.99892,0.995,0.77582,0.82219,0.82406,0.93194,0.000496698,0.000496698,0.000496698
59,109.86,0.7797,0.85843,1.06403,1,0.99892,0.995,0.77582,0.82219,0.82406,0.93194,0.000493928,0.000493928,0.000493928
60,111.608,0.81887,0.83184,1.07314,0.99831,1,0.995,0.75882,0.83329,0.82383,0.92204,0.000490762,0.000490762,0.000490762
61,113.401,0.64367,1.07448,0.92559,0.99831,1,0.995,0.75882,0.83329,0.82383,0.92204,0.0004872,0.0004872,0.0004872
62,115.124,0.92456,1.0287,1.06479,0.99831,1,0.995,0.75882,0.83329,0.82383,0.92204,0.000483242,0.000483242,0.000483242
63,116.837,0.63413,0.71924,1.00302,1,0.99932,0.995,0.75032,0.86047,0.78933,0.92074,0.000478888,0.000478888,0.000478888
64,118.499,0.58239,0.58502,0.93033,1,0.99932,0.995,0.75032,0.86047,0.78933,0.92074,0.000474138,0.000474138,0.000474138
65,120.434,0.9084,1.06037,1.08557,1,0.99932,0.995,0.75032,0.86047,0.78933,0.92074,0.000468992,0.000468992,0.000468992
66,122.404,0.84841,0.96734,1.04795,0.99846,1,0.995,0.7657,0.85188,0.75573,0.91823,0.00046345,0.00046345,0.00046345
67,124.179,0.81909,0.97392,1.11687,0.99846,1,0.995,0.7657,0.85188,0.75573,0.91823,0.000457512,0.000457512,0.000457512
68,125.941,0.72071,0.72093,1.03441,0.99846,1,0.995,0.7657,0.85188,0.75573,0.91823,0.000451178,0.000451178,0.000451178
69,127.725,0.69539,0.77645,0.99609,0.99703,1,0.995,0.76208,0.83918,0.74564,0.91782,0.000444448,0.000444448,0.000444448
70,129.44,0.58665,0.70611,0.94401,0.99703,1,0.995,0.76208,0.83918,0.74564,0.91782,0.000437322,0.000437322,0.000437322
71,131.139,0.83758,0.85933,1.12736,0.99703,1,0.995,0.76208,0.83918,0.74564,0.91782,0.0004298,0.0004298,0.0004298
72,132.86,0.58882,0.67805,0.89541,0.99743,1,0.995,0.75311,0.88253,0.74672,0.93456,0.000421882,0.000421882,0.000421882
73,134.555,0.78144,0.75699,1.02311,0.99743,1,0.995,0.75311,0.88253,0.74672,0.93456,0.000413568,0.000413568,0.000413568
74,136.233,0.69036,0.62974,0.93327,0.99743,1,0.995,0.75311,0.88253,0.74672,0.93456,0.000404858,0.000404858,0.000404858
75,138.028,0.73486,0.75288,1.06182,0.9979,1,0.995,0.75897,0.88694,0.7498,0.9335,0.000395752,0.000395752,0.000395752
76,139.752,0.59171,0.9258,0.94833,0.9979,1,0.995,0.75897,0.88694,0.7498,0.9335,0.00038625,0.00038625,0.00038625
77,141.53,0.76522,0.79035,1.02548,0.9979,1,0.995,0.75897,0.88694,0.7498,0.9335,0.000376352,0.000376352,0.000376352
78,143.515,0.60457,0.70134,0.95239,0.99845,1,0.995,0.7718,0.84552,0.72457,0.92963,0.000366058,0.000366058,0.000366058
79,147.192,0.72425,0.70412,1.01625,0.99845,1,0.995,0.7718,0.84552,0.72457,0.92963,0.000355368,0.000355368,0.000355368
80,148.916,0.6432,0.77592,0.92118,0.99845,1,0.995,0.7718,0.84552,0.72457,0.92963,0.000344282,0.000344282,0.000344282
81,150.63,0.58013,0.67963,0.94811,0.9987,1,0.995,0.78295,0.79605,0.69886,0.91694,0.0003328,0.0003328,0.0003328
82,152.312,0.50573,0.58389,0.88079,0.9987,1,0.995,0.78295,0.79605,0.69886,0.91694,0.000320922,0.000320922,0.000320922
83,153.991,0.56292,0.76545,0.92404,0.9987,1,0.995,0.78295,0.79605,0.69886,0.91694,0.000308648,0.000308648,0.000308648
84,155.778,0.7416,0.72699,0.98793,0.99897,1,0.995,0.78102,0.77575,0.66666,0.9173,0.000295978,0.000295978,0.000295978
85,157.476,0.54527,0.68083,0.8943,0.99897,1,0.995,0.78102,0.77575,0.66666,0.9173,0.000282912,0.000282912,0.000282912
86,159.203,0.70311,0.75787,0.98919,0.99897,1,0.995,0.78102,0.77575,0.66666,0.9173,0.00026945,0.00026945,0.00026945
87,160.93,0.55882,0.62762,0.8799,0.99897,1,0.995,0.78102,0.77575,0.66666,0.9173,0.000255592,0.000255592,0.000255592
88,162.712,0.60386,0.84513,0.92269,0.99888,1,0.995,0.77765,0.78295,0.63582,0.91909,0.000241338,0.000241338,0.000241338
89,164.416,0.87374,0.8713,1.10154,0.99888,1,0.995,0.77765,0.78295,0.63582,0.91909,0.000226688,0.000226688,0.000226688
90,166.183,0.84663,0.98494,1.0787,0.99888,1,0.995,0.77765,0.78295,0.63582,0.91909,0.000211642,0.000211642,0.000211642
91,167.878,0.50569,0.6709,0.88532,0.99888,1,0.995,0.77765,0.78295,0.63582,0.91909,0.0001962,0.0001962,0.0001962
92,169.603,0.56453,0.7624,0.95348,0.99886,1,0.995,0.78234,0.78908,0.62574,0.93155,0.000180362,0.000180362,0.000180362
93,171.261,0.5416,0.64998,0.91151,0.99886,1,0.995,0.78234,0.78908,0.62574,0.93155,0.000164128,0.000164128,0.000164128
94,172.973,0.49213,0.58239,0.87694,0.99886,1,0.995,0.78234,0.78908,0.62574,0.93155,0.000147498,0.000147498,0.000147498
95,174.704,0.49949,0.64972,0.85367,0.99886,1,0.995,0.78234,0.78908,0.62574,0.93155,0.000130472,0.000130472,0.000130472
96,176.439,0.52002,0.65978,0.87811,0.99892,1,0.995,0.79232,0.78888,0.60687,0.94026,0.00011305,0.00011305,0.00011305
97,178.128,0.49146,0.54195,0.86028,0.99892,1,0.995,0.79232,0.78888,0.60687,0.94026,9.5232e-05,9.5232e-05,9.5232e-05
98,179.934,0.53769,0.56465,0.86818,0.99892,1,0.995,0.79232,0.78888,0.60687,0.94026,7.7018e-05,7.7018e-05,7.7018e-05
99,181.679,0.45135,0.64471,0.89286,0.99892,1,0.995,0.79232,0.78888,0.60687,0.94026,5.8408e-05,5.8408e-05,5.8408e-05
100,183.489,0.53701,0.57692,0.91193,0.99893,1,0.995,0.78823,0.8,0.59051,0.95063,3.9402e-05,3.9402e-05,3.9402e-05
